,date,INTC,isPartial
1,2013-01-02,11.78,False
2,2013-01-03,8.68,False
3,2013-01-04,8.37,False
4,2013-01-05,4.03,False
5,2013-01-06,1.8599999999999999,False
6,2013-01-07,11.47,False
7,2013-01-08,9.92,False
8,2013-01-09,10.23,False
9,2013-01-10,11.78,False
10,2013-01-11,11.47,False
11,2013-01-12,2.17,False
12,2013-01-13,3.7199999999999998,False
13,2013-01-14,8.99,False
14,2013-01-15,12.09,False
15,2013-01-16,11.16,False
16,2013-01-17,29.14,False
17,2013-01-18,31.0,False
18,2013-01-19,6.2,False
19,2013-01-20,3.7199999999999998,False
20,2013-01-21,8.06,False
21,2013-01-22,9.3,False
22,2013-01-23,12.4,False
23,2013-01-24,10.85,False
24,2013-01-25,11.16,False
25,2013-01-26,2.17,False
26,2013-01-27,4.34,False
27,2013-01-28,8.06,False
28,2013-01-29,9.92,False
29,2013-01-30,8.68,False
30,2013-01-31,8.99,False
0,2013-02-01,19.74,False
1,2013-02-02,10.29,False
2,2013-02-03,5.88,False
3,2013-02-04,20.37,False
4,2013-02-05,19.95,False
5,2013-02-06,15.12,False
6,2013-02-07,20.37,False
7,2013-02-08,17.43,False
8,2013-02-09,4.83,False
9,2013-02-10,4.2,False
10,2013-02-11,14.07,False
11,2013-02-12,18.27,False
12,2013-02-13,21.0,False
13,2013-02-14,14.28,False
14,2013-02-15,16.59,False
15,2013-02-16,6.51,False
16,2013-02-17,5.04,False
17,2013-02-18,8.19,False
18,2013-02-19,18.48,False
19,2013-02-20,17.22,False
20,2013-02-21,15.75,False
21,2013-02-22,19.11,False
22,2013-02-23,10.92,False
23,2013-02-24,6.3,False
24,2013-02-25,19.11,False
25,2013-02-26,20.79,False
26,2013-02-27,19.95,False
27,2013-02-28,19.32,False
0,2013-03-01,12.959999999999999,False
1,2013-03-02,5.279999999999999,False
2,2013-03-03,5.52,False
3,2013-03-04,16.56,False
4,2013-03-05,24.0,False
5,2013-03-06,17.04,False
6,2013-03-07,22.08,False
7,2013-03-08,23.52,False
8,2013-03-09,7.68,False
9,2013-03-10,3.5999999999999996,False
10,2013-03-11,16.32,False
11,2013-03-12,13.92,False
12,2013-03-13,14.879999999999999,False
13,2013-03-14,17.04,False
14,2013-03-15,15.12,False
15,2013-03-16,4.08,False
16,2013-03-17,2.88,False
17,2013-03-18,13.2,False
18,2013-03-19,19.919999999999998,False
19,2013-03-20,13.92,False
20,2013-03-21,15.12,False
21,2013-03-22,10.799999999999999,False
22,2013-03-23,6.4799999999999995,False
23,2013-03-24,3.5999999999999996,False
24,2013-03-25,13.44,False
25,2013-03-26,13.92,False
26,2013-03-27,20.88,False
27,2013-03-28,13.68,False
28,2013-03-29,13.92,False
29,2013-03-30,4.56,False
30,2013-03-31,3.84,False
0,2013-04-01,15.3,False
1,2013-04-02,19.380000000000003,False
2,2013-04-03,15.64,False
3,2013-04-04,12.920000000000002,False
4,2013-04-05,13.260000000000002,False
5,2013-04-06,2.04,False
6,2013-04-07,4.42,False
7,2013-04-08,17.34,False
8,2013-04-09,16.66,False
9,2013-04-10,32.980000000000004,False
10,2013-04-11,26.520000000000003,False
11,2013-04-12,12.58,False
12,2013-04-13,6.800000000000001,False
13,2013-04-14,9.520000000000001,False
14,2013-04-15,21.080000000000002,False
15,2013-04-16,27.200000000000003,False
16,2013-04-17,34.0,False
17,2013-04-18,29.240000000000002,False
18,2013-04-19,20.400000000000002,False
19,2013-04-20,10.88,False
20,2013-04-21,4.42,False
21,2013-04-22,20.400000000000002,False
22,2013-04-23,29.92,False
23,2013-04-24,22.78,False
24,2013-04-25,26.520000000000003,False
25,2013-04-26,18.700000000000003,False
26,2013-04-27,10.88,False
27,2013-04-28,3.74,False
28,2013-04-29,17.34,False
29,2013-04-30,25.840000000000003,False
0,2013-05-01,20.7,False
1,2013-05-02,30.0,False
2,2013-05-03,21.3,False
3,2013-05-04,5.1,False
4,2013-05-05,5.1,False
5,2013-05-06,14.7,False
6,2013-05-07,15.299999999999999,False
7,2013-05-08,16.8,False
8,2013-05-09,12.299999999999999,False
9,2013-05-10,15.899999999999999,False
10,2013-05-11,2.6999999999999997,False
11,2013-05-12,5.1,False
12,2013-05-13,15.0,False
13,2013-05-14,17.099999999999998,False
14,2013-05-15,12.9,False
15,2013-05-16,17.099999999999998,False
16,2013-05-17,18.599999999999998,False
17,2013-05-18,7.5,False
18,2013-05-19,2.6999999999999997,False
19,2013-05-20,14.399999999999999,False
20,2013-05-21,17.7,False
21,2013-05-22,12.9,False
22,2013-05-23,12.0,False
23,2013-05-24,13.799999999999999,False
24,2013-05-25,4.5,False
25,2013-05-26,7.199999999999999,False
26,2013-05-27,6.3,False
27,2013-05-28,11.4,False
28,2013-05-29,13.2,False
29,2013-05-30,16.5,False
30,2013-05-31,13.2,False
0,2013-06-01,3.7699999999999996,False
1,2013-06-02,3.7699999999999996,False
2,2013-06-03,24.65,False
3,2013-06-04,28.999999999999996,False
4,2013-06-05,18.27,False
5,2013-06-06,16.24,False
6,2013-06-07,18.27,False
7,2013-06-08,8.12,False
8,2013-06-09,3.4799999999999995,False
9,2013-06-10,13.629999999999999,False
10,2013-06-11,15.659999999999998,False
11,2013-06-12,12.469999999999999,False
12,2013-06-13,15.37,False
13,2013-06-14,11.6,False
14,2013-06-15,5.22,False
15,2013-06-16,5.8,False
16,2013-06-17,11.309999999999999,False
17,2013-06-18,15.95,False
18,2013-06-19,20.88,False
19,2013-06-20,16.529999999999998,False
20,2013-06-21,12.18,False
21,2013-06-22,4.06,False
22,2013-06-23,4.06,False
23,2013-06-24,12.76,False
24,2013-06-25,10.149999999999999,False
25,2013-06-26,13.049999999999999,False
26,2013-06-27,10.44,False
27,2013-06-28,11.889999999999999,False
28,2013-06-29,4.93,False
29,2013-06-30,3.7699999999999996,False
0,2013-07-01,10.44,False
1,2013-07-02,9.86,False
2,2013-07-03,12.469999999999999,False
3,2013-07-04,4.35,False
4,2013-07-05,9.28,False
5,2013-07-06,4.64,False
6,2013-07-07,2.61,False
7,2013-07-08,16.529999999999998,False
8,2013-07-09,13.919999999999998,False
9,2013-07-10,15.659999999999998,False
10,2013-07-11,14.79,False
11,2013-07-12,11.6,False
12,2013-07-13,6.38,False
13,2013-07-14,4.35,False
14,2013-07-15,10.44,False
15,2013-07-16,15.079999999999998,False
16,2013-07-17,27.549999999999997,False
17,2013-07-18,28.999999999999996,False
18,2013-07-19,17.11,False
19,2013-07-20,5.51,False
20,2013-07-21,4.64,False
21,2013-07-22,13.34,False
22,2013-07-23,16.82,False
23,2013-07-24,15.659999999999998,False
24,2013-07-25,8.7,False
25,2013-07-26,12.469999999999999,False
26,2013-07-27,4.06,False
27,2013-07-28,2.61,False
28,2013-07-29,9.569999999999999,False
29,2013-07-30,11.6,False
30,2013-07-31,9.569999999999999,False
0,2013-08-01,16.560000000000002,False
1,2013-08-02,13.8,False
2,2013-08-03,9.66,False
3,2013-08-04,6.44,False
4,2013-08-05,14.950000000000001,False
5,2013-08-06,18.630000000000003,False
6,2013-08-07,13.57,False
7,2013-08-08,16.79,False
8,2013-08-09,13.57,False
9,2013-08-10,6.44,False
10,2013-08-11,4.140000000000001,False
11,2013-08-12,15.41,False
12,2013-08-13,14.49,False
13,2013-08-14,21.39,False
14,2013-08-15,16.560000000000002,False
15,2013-08-16,17.71,False
16,2013-08-17,8.51,False
17,2013-08-18,8.74,False
18,2013-08-19,17.94,False
19,2013-08-20,17.94,False
20,2013-08-21,23.0,False
21,2013-08-22,15.870000000000001,False
22,2013-08-23,16.560000000000002,False
23,2013-08-24,8.74,False
24,2013-08-25,3.45,False
25,2013-08-26,14.72,False
26,2013-08-27,13.8,False
27,2013-08-28,17.71,False
28,2013-08-29,18.86,False
29,2013-08-30,12.42,False
30,2013-08-31,9.43,False
0,2013-09-01,2.5,False
1,2013-09-02,3.75,False
2,2013-09-03,18.0,False
3,2013-09-04,18.25,False
4,2013-09-05,16.75,False
5,2013-09-06,13.75,False
6,2013-09-07,3.5,False
7,2013-09-08,3.0,False
8,2013-09-09,17.5,False
9,2013-09-10,20.5,False
10,2013-09-11,22.5,False
11,2013-09-12,15.0,False
12,2013-09-13,24.75,False
13,2013-09-14,10.75,False
14,2013-09-15,3.0,False
15,2013-09-16,18.5,False
16,2013-09-17,25.0,False
17,2013-09-18,21.5,False
18,2013-09-19,22.0,False
19,2013-09-20,17.5,False
20,2013-09-21,6.75,False
21,2013-09-22,3.5,False
22,2013-09-23,15.75,False
23,2013-09-24,15.25,False
24,2013-09-25,15.0,False
25,2013-09-26,16.25,False
26,2013-09-27,16.0,False
27,2013-09-28,6.0,False
28,2013-09-29,2.5,False
29,2013-09-30,14.75,False
0,2013-10-01,8.05,False
1,2013-10-02,7.13,False
2,2013-10-03,7.82,False
3,2013-10-04,6.9,False
4,2013-10-05,2.99,False
5,2013-10-06,2.3000000000000003,False
6,2013-10-07,6.9,False
7,2013-10-08,6.9,False
8,2013-10-09,10.35,False
9,2013-10-10,11.5,False
10,2013-10-11,11.270000000000001,False
11,2013-10-12,2.0700000000000003,False
12,2013-10-13,3.45,False
13,2013-10-14,11.270000000000001,False
14,2013-10-15,23.0,False
15,2013-10-16,14.950000000000001,False
16,2013-10-17,8.74,False
17,2013-10-18,16.1,False
18,2013-10-19,5.75,False
19,2013-10-20,2.99,False
20,2013-10-21,8.74,False
21,2013-10-22,12.65,False
22,2013-10-23,6.44,False
23,2013-10-24,8.97,False
24,2013-10-25,9.43,False
25,2013-10-26,3.45,False
26,2013-10-27,0.92,False
27,2013-10-28,10.35,False
28,2013-10-29,8.74,False
29,2013-10-30,11.73,False
30,2013-10-31,10.58,False
0,2013-11-01,7.6000000000000005,False
1,2013-11-02,2.0,False
2,2013-11-03,3.0,False
3,2013-11-04,9.600000000000001,False
4,2013-11-05,8.6,False
5,2013-11-06,10.600000000000001,False
6,2013-11-07,10.0,False
7,2013-11-08,7.4,False
8,2013-11-09,2.0,False
9,2013-11-10,3.0,False
10,2013-11-11,8.200000000000001,False
11,2013-11-12,8.6,False
12,2013-11-13,8.6,False
13,2013-11-14,8.6,False
14,2013-11-15,9.8,False
15,2013-11-16,3.8000000000000003,False
16,2013-11-17,2.4000000000000004,False
17,2013-11-18,7.6000000000000005,False
18,2013-11-19,7.6000000000000005,False
19,2013-11-20,8.0,False
