,date,PFE,isPartial
28,2013-01-29,36.489999999999995,False
29,2013-01-30,41.0,False
30,2013-01-31,36.08,False
0,2013-02-01,38.54,False
1,2013-02-02,20.5,False
2,2013-02-03,17.63,False
3,2013-02-04,34.85,False
4,2013-02-05,36.08,False
5,2013-02-06,41.0,False
6,2013-02-07,30.749999999999996,False
7,2013-02-08,29.11,False
8,2013-02-09,11.069999999999999,False
9,2013-02-10,19.68,False
10,2013-02-11,28.7,False
11,2013-02-12,18.86,False
12,2013-02-13,25.83,False
13,2013-02-14,31.159999999999997,False
14,2013-02-15,20.91,False
15,2013-02-16,19.27,False
16,2013-02-17,12.299999999999999,False
17,2013-02-18,17.22,False
18,2013-02-19,33.21,False
19,2013-02-20,22.959999999999997,False
20,2013-02-21,26.24,False
21,2013-02-22,27.88,False
22,2013-02-23,15.989999999999998,False
23,2013-02-24,9.43,False
24,2013-02-25,27.88,False
25,2013-02-26,33.62,False
26,2013-02-27,29.52,False
27,2013-02-28,33.62,False
0,2013-03-01,27.28,False
1,2013-03-02,14.96,False
2,2013-03-03,9.68,False
3,2013-03-04,29.48,False
4,2013-03-05,44.0,False
5,2013-03-06,36.96,False
6,2013-03-07,37.4,False
7,2013-03-08,22.0,False
8,2013-03-09,16.28,False
9,2013-03-10,15.84,False
10,2013-03-11,34.32,False
11,2013-03-12,33.44,False
12,2013-03-13,22.0,False
13,2013-03-14,32.12,False
14,2013-03-15,25.96,False
15,2013-03-16,13.64,False
16,2013-03-17,10.56,False
17,2013-03-18,30.8,False
18,2013-03-19,18.48,False
19,2013-03-20,25.96,False
20,2013-03-21,37.84,False
21,2013-03-22,20.68,False
22,2013-03-23,9.68,False
23,2013-03-24,8.36,False
24,2013-03-25,16.72,False
25,2013-03-26,29.48,False
26,2013-03-27,34.32,False
27,2013-03-28,25.52,False
28,2013-03-29,10.56,False
29,2013-03-30,14.08,False
30,2013-03-31,13.2,False
0,2013-04-01,35.5,False
1,2013-04-02,38.0,False
2,2013-04-03,40.5,False
3,2013-04-04,27.0,False
4,2013-04-05,31.0,False
5,2013-04-06,20.5,False
6,2013-04-07,18.0,False
7,2013-04-08,39.5,False
8,2013-04-09,40.0,False
9,2013-04-10,43.0,False
10,2013-04-11,40.5,False
11,2013-04-12,45.0,False
12,2013-04-13,17.0,False
13,2013-04-14,20.5,False
14,2013-04-15,39.5,False
15,2013-04-16,44.5,False
16,2013-04-17,40.0,False
17,2013-04-18,36.0,False
18,2013-04-19,32.5,False
19,2013-04-20,17.0,False
20,2013-04-21,16.0,False
21,2013-04-22,36.0,False
22,2013-04-23,44.0,False
23,2013-04-24,37.5,False
24,2013-04-25,40.5,False
25,2013-04-26,47.5,False
26,2013-04-27,21.0,False
27,2013-04-28,22.0,False
28,2013-04-29,36.5,False
29,2013-04-30,50.0,False
0,2013-05-01,39.69,False
1,2013-05-02,40.67,False
2,2013-05-03,42.14,False
3,2013-05-04,23.52,False
4,2013-05-05,14.209999999999999,False
5,2013-05-06,47.04,False
6,2013-05-07,47.04,False
7,2013-05-08,34.79,False
8,2013-05-09,30.87,False
9,2013-05-10,31.849999999999998,False
10,2013-05-11,16.169999999999998,False
11,2013-05-12,25.97,False
12,2013-05-13,41.65,False
13,2013-05-14,41.16,False
14,2013-05-15,47.53,False
15,2013-05-16,44.589999999999996,False
16,2013-05-17,49.0,False
17,2013-05-18,22.05,False
18,2013-05-19,24.5,False
19,2013-05-20,28.91,False
20,2013-05-21,45.57,False
21,2013-05-22,46.55,False
22,2013-05-23,42.63,False
23,2013-05-24,42.63,False
24,2013-05-25,26.95,False
25,2013-05-26,22.54,False
26,2013-05-27,38.22,False
27,2013-05-28,33.81,False
28,2013-05-29,42.14,False
29,2013-05-30,28.419999999999998,False
30,2013-05-31,44.589999999999996,False
0,2013-06-01,29.160000000000004,False
1,2013-06-02,23.76,False
2,2013-06-03,45.36,False
3,2013-06-04,49.68000000000001,False
4,2013-06-05,54.0,False
5,2013-06-06,54.0,False
6,2013-06-07,42.660000000000004,False
7,2013-06-08,24.3,False
8,2013-06-09,18.36,False
9,2013-06-10,49.68000000000001,False
10,2013-06-11,44.82,False
11,2013-06-12,42.120000000000005,False
12,2013-06-13,50.220000000000006,False
13,2013-06-14,50.760000000000005,False
14,2013-06-15,23.76,False
15,2013-06-16,29.160000000000004,False
16,2013-06-17,42.120000000000005,False
17,2013-06-18,44.82,False
18,2013-06-19,41.040000000000006,False
19,2013-06-20,43.74,False
20,2013-06-21,41.580000000000005,False
21,2013-06-22,21.6,False
22,2013-06-23,25.92,False
23,2013-06-24,49.68000000000001,False
24,2013-06-25,46.980000000000004,False
25,2013-06-26,35.64,False
26,2013-06-27,36.72,False
27,2013-06-28,42.120000000000005,False
28,2013-06-29,21.6,False
29,2013-06-30,17.28,False
0,2013-07-01,33.300000000000004,False
1,2013-07-02,35.550000000000004,False
2,2013-07-03,31.5,False
3,2013-07-04,27.900000000000002,False
4,2013-07-05,33.300000000000004,False
5,2013-07-06,22.95,False
6,2013-07-07,11.700000000000001,False
7,2013-07-08,24.3,False
8,2013-07-09,19.35,False
9,2013-07-10,30.150000000000002,False
10,2013-07-11,30.150000000000002,False
11,2013-07-12,45.0,False
12,2013-07-13,8.55,False
13,2013-07-14,9.9,False
14,2013-07-15,33.300000000000004,False
15,2013-07-16,22.95,False
16,2013-07-17,32.85,False
17,2013-07-18,29.7,False
18,2013-07-19,30.6,False
19,2013-07-20,15.75,False
20,2013-07-21,21.150000000000002,False
21,2013-07-22,27.45,False
22,2013-07-23,28.8,False
23,2013-07-24,36.9,False
24,2013-07-25,28.35,False
25,2013-07-26,29.25,False
26,2013-07-27,18.45,False
27,2013-07-28,20.7,False
28,2013-07-29,31.5,False
29,2013-07-30,40.050000000000004,False
30,2013-07-31,36.9,False
0,2013-08-01,24.5,False
1,2013-08-02,35.0,False
2,2013-08-03,15.049999999999999,False
3,2013-08-04,10.85,False
4,2013-08-05,22.049999999999997,False
5,2013-08-06,34.3,False
6,2013-08-07,28.7,False
7,2013-08-08,25.9,False
8,2013-08-09,29.4,False
9,2013-08-10,8.049999999999999,False
10,2013-08-11,3.8499999999999996,False
11,2013-08-12,23.799999999999997,False
12,2013-08-13,27.65,False
13,2013-08-14,26.599999999999998,False
14,2013-08-15,15.399999999999999,False
15,2013-08-16,31.499999999999996,False
16,2013-08-17,9.45,False
17,2013-08-18,7.699999999999999,False
18,2013-08-19,20.65,False
19,2013-08-20,21.349999999999998,False
