,date,KO,isPartial
11,2013-01-12,43.0,False
12,2013-01-13,42.14,False
13,2013-01-14,35.69,False
14,2013-01-15,35.69,False
15,2013-01-16,37.41,False
16,2013-01-17,38.269999999999996,False
17,2013-01-18,39.56,False
18,2013-01-19,42.14,False
19,2013-01-20,41.71,False
20,2013-01-21,36.12,False
21,2013-01-22,35.26,False
22,2013-01-23,36.98,False
23,2013-01-24,35.69,False
24,2013-01-25,35.26,False
25,2013-01-26,40.85,False
26,2013-01-27,42.14,False
27,2013-01-28,35.26,False
28,2013-01-29,35.26,False
29,2013-01-30,36.55,False
30,2013-01-31,36.98,False
0,2013-02-01,32.76,False
1,2013-02-02,37.8,False
2,2013-02-03,38.64,False
3,2013-02-04,32.76,False
4,2013-02-05,34.44,False
5,2013-02-06,35.699999999999996,False
6,2013-02-07,34.019999999999996,False
7,2013-02-08,34.44,False
8,2013-02-09,36.96,False
9,2013-02-10,38.64,False
10,2013-02-11,31.919999999999998,False
11,2013-02-12,33.6,False
12,2013-02-13,31.08,False
13,2013-02-14,33.18,False
14,2013-02-15,35.28,False
15,2013-02-16,42.0,False
16,2013-02-17,39.48,False
17,2013-02-18,33.6,False
18,2013-02-19,35.28,False
19,2013-02-20,34.019999999999996,False
20,2013-02-21,35.28,False
21,2013-02-22,36.96,False
22,2013-02-23,39.059999999999995,False
23,2013-02-24,39.059999999999995,False
24,2013-02-25,33.6,False
25,2013-02-26,31.919999999999998,False
26,2013-02-27,33.6,False
27,2013-02-28,33.6,False
0,2013-03-01,36.9,False
1,2013-03-02,41.4,False
2,2013-03-03,40.5,False
3,2013-03-04,35.1,False
4,2013-03-05,34.2,False
5,2013-03-06,36.9,False
6,2013-03-07,36.9,False
7,2013-03-08,36.9,False
8,2013-03-09,40.050000000000004,False
9,2013-03-10,40.050000000000004,False
10,2013-03-11,35.550000000000004,False
11,2013-03-12,34.65,False
12,2013-03-13,36.0,False
13,2013-03-14,37.35,False
14,2013-03-15,36.9,False
15,2013-03-16,41.85,False
16,2013-03-17,43.65,False
17,2013-03-18,35.1,False
18,2013-03-19,35.550000000000004,False
19,2013-03-20,36.9,False
20,2013-03-21,37.800000000000004,False
21,2013-03-22,38.7,False
22,2013-03-23,41.85,False
23,2013-03-24,42.75,False
24,2013-03-25,36.0,False
25,2013-03-26,37.800000000000004,False
26,2013-03-27,37.35,False
27,2013-03-28,38.25,False
28,2013-03-29,42.300000000000004,False
29,2013-03-30,45.0,False
30,2013-03-31,42.75,False
0,2013-04-01,38.22,False
1,2013-04-02,35.28,False
2,2013-04-03,36.96,False
3,2013-04-04,35.699999999999996,False
4,2013-04-05,36.54,False
5,2013-04-06,38.64,False
6,2013-04-07,39.059999999999995,False
7,2013-04-08,34.44,False
8,2013-04-09,34.019999999999996,False
9,2013-04-10,34.86,False
10,2013-04-11,34.86,False
11,2013-04-12,35.28,False
12,2013-04-13,40.74,False
13,2013-04-14,39.9,False
14,2013-04-15,36.12,False
15,2013-04-16,34.44,False
16,2013-04-17,34.86,False
17,2013-04-18,35.699999999999996,False
18,2013-04-19,35.28,False
19,2013-04-20,41.16,False
20,2013-04-21,41.16,False
21,2013-04-22,34.86,False
22,2013-04-23,35.699999999999996,False
23,2013-04-24,35.699999999999996,False
24,2013-04-25,34.44,False
25,2013-04-26,34.86,False
26,2013-04-27,42.0,False
27,2013-04-28,40.74,False
28,2013-04-29,35.28,False
29,2013-04-30,34.019999999999996,False
0,2013-05-01,34.44,False
1,2013-05-02,32.76,False
2,2013-05-03,36.54,False
3,2013-05-04,40.32,False
4,2013-05-05,40.74,False
5,2013-05-06,34.86,False
6,2013-05-07,34.44,False
7,2013-05-08,34.44,False
8,2013-05-09,35.699999999999996,False
9,2013-05-10,36.54,False
10,2013-05-11,39.48,False
11,2013-05-12,41.58,False
12,2013-05-13,34.019999999999996,False
13,2013-05-14,34.44,False
14,2013-05-15,33.6,False
15,2013-05-16,34.44,False
16,2013-05-17,35.699999999999996,False
17,2013-05-18,41.16,False
18,2013-05-19,40.74,False
19,2013-05-20,35.28,False
20,2013-05-21,33.6,False
21,2013-05-22,34.019999999999996,False
22,2013-05-23,35.28,False
23,2013-05-24,35.28,False
24,2013-05-25,41.16,False
25,2013-05-26,42.0,False
26,2013-05-27,35.699999999999996,False
27,2013-05-28,36.12,False
28,2013-05-29,35.28,False
29,2013-05-30,36.54,False
30,2013-05-31,35.699999999999996,False
0,2013-06-01,40.95,False
1,2013-06-02,40.050000000000004,False
2,2013-06-03,34.65,False
3,2013-06-04,34.65,False
4,2013-06-05,36.0,False
5,2013-06-06,36.45,False
6,2013-06-07,36.0,False
7,2013-06-08,41.85,False
8,2013-06-09,42.75,False
9,2013-06-10,35.1,False
10,2013-06-11,34.65,False
