,date,WMT,isPartial
7,2013-03-08,17.98,False
8,2013-03-09,18.849999999999998,False
9,2013-03-10,10.729999999999999,False
10,2013-03-11,11.6,False
11,2013-03-12,22.04,False
12,2013-03-13,23.2,False
13,2013-03-14,11.889999999999999,False
14,2013-03-15,28.999999999999996,False
15,2013-03-16,9.28,False
16,2013-03-17,20.009999999999998,False
17,2013-03-18,16.82,False
18,2013-03-19,15.659999999999998,False
19,2013-03-20,11.889999999999999,False
20,2013-03-21,13.34,False
21,2013-03-22,15.079999999999998,False
22,2013-03-23,12.469999999999999,False
23,2013-03-24,17.11,False
24,2013-03-25,23.779999999999998,False
25,2013-03-26,26.389999999999997,False
26,2013-03-27,17.689999999999998,False
27,2013-03-28,26.68,False
28,2013-03-29,15.079999999999998,False
29,2013-03-30,13.049999999999999,False
30,2013-03-31,11.6,False
0,2013-04-01,16.5,False
1,2013-04-02,18.599999999999998,False
2,2013-04-03,12.6,False
3,2013-04-04,11.4,False
4,2013-04-05,21.3,False
5,2013-04-06,7.199999999999999,False
6,2013-04-07,5.7,False
7,2013-04-08,15.299999999999999,False
8,2013-04-09,20.099999999999998,False
9,2013-04-10,30.0,False
10,2013-04-11,20.7,False
11,2013-04-12,20.7,False
12,2013-04-13,9.6,False
13,2013-04-14,7.199999999999999,False
14,2013-04-15,15.0,False
15,2013-04-16,20.099999999999998,False
16,2013-04-17,18.599999999999998,False
17,2013-04-18,16.8,False
18,2013-04-19,18.3,False
19,2013-04-20,8.1,False
20,2013-04-21,12.0,False
21,2013-04-22,17.4,False
22,2013-04-23,18.599999999999998,False
23,2013-04-24,16.8,False
24,2013-04-25,26.099999999999998,False
25,2013-04-26,15.899999999999999,False
26,2013-04-27,10.2,False
27,2013-04-28,7.199999999999999,False
28,2013-04-29,12.6,False
29,2013-04-30,21.3,False
0,2013-05-01,9.569999999999999,False
1,2013-05-02,11.6,False
2,2013-05-03,12.18,False
3,2013-05-04,3.7699999999999996,False
4,2013-05-05,2.9,False
5,2013-05-06,7.539999999999999,False
6,2013-05-07,11.309999999999999,False
7,2013-05-08,13.919999999999998,False
8,2013-05-09,6.67,False
9,2013-05-10,6.09,False
10,2013-05-11,4.93,False
11,2013-05-12,6.959999999999999,False
12,2013-05-13,7.249999999999999,False
13,2013-05-14,11.889999999999999,False
14,2013-05-15,16.82,False
15,2013-05-16,28.999999999999996,False
16,2013-05-17,22.91,False
17,2013-05-18,8.7,False
18,2013-05-19,6.959999999999999,False
19,2013-05-20,14.499999999999998,False
20,2013-05-21,19.72,False
21,2013-05-22,11.889999999999999,False
22,2013-05-23,13.049999999999999,False
23,2013-05-24,12.469999999999999,False
24,2013-05-25,5.8,False
25,2013-05-26,2.9,False
26,2013-05-27,8.12,False
27,2013-05-28,13.34,False
28,2013-05-29,10.149999999999999,False
29,2013-05-30,12.18,False
30,2013-05-31,11.6,False
0,2013-06-01,9.6,False
1,2013-06-02,10.799999999999999,False
2,2013-06-03,17.759999999999998,False
3,2013-06-04,14.639999999999999,False
4,2013-06-05,14.639999999999999,False
5,2013-06-06,24.0,False
6,2013-06-07,11.76,False
7,2013-06-08,13.92,False
8,2013-06-09,8.16,False
9,2013-06-10,14.639999999999999,False
10,2013-06-11,14.399999999999999,False
11,2013-06-12,17.04,False
12,2013-06-13,18.24,False
13,2013-06-14,15.6,False
14,2013-06-15,11.28,False
15,2013-06-16,13.92,False
16,2013-06-17,10.32,False
17,2013-06-18,9.12,False
18,2013-06-19,19.2,False
19,2013-06-20,16.08,False
20,2013-06-21,7.199999999999999,False
21,2013-06-22,5.52,False
22,2013-06-23,5.52,False
23,2013-06-24,18.24,False
24,2013-06-25,16.8,False
25,2013-06-26,12.48,False
26,2013-06-27,16.08,False
27,2013-06-28,21.599999999999998,False
28,2013-06-29,9.84,False
29,2013-06-30,4.32,False
0,2013-07-01,11.96,False
1,2013-07-02,21.580000000000002,False
2,2013-07-03,20.28,False
3,2013-07-04,15.860000000000001,False
4,2013-07-05,11.700000000000001,False
5,2013-07-06,6.76,False
6,2013-07-07,4.94,False
7,2013-07-08,17.68,False
8,2013-07-09,12.22,False
9,2013-07-10,15.34,False
10,2013-07-11,24.96,False
11,2013-07-12,26.0,False
12,2013-07-13,11.96,False
13,2013-07-14,4.94,False
14,2013-07-15,10.92,False
15,2013-07-16,18.98,False
16,2013-07-17,14.040000000000001,False
17,2013-07-18,7.0200000000000005,False
18,2013-07-19,11.440000000000001,False
19,2013-07-20,6.76,False
20,2013-07-21,13.52,False
21,2013-07-22,20.28,False
22,2013-07-23,20.02,False
23,2013-07-24,21.84,False
24,2013-07-25,11.18,False
25,2013-07-26,7.0200000000000005,False
26,2013-07-27,13.52,False
27,2013-07-28,16.64,False
28,2013-07-29,16.12,False
29,2013-07-30,20.28,False
30,2013-07-31,16.38,False
0,2013-08-01,9.5,False
1,2013-08-02,6.75,False
2,2013-08-03,11.5,False
3,2013-08-04,3.75,False
4,2013-08-05,8.0,False
5,2013-08-06,10.25,False
6,2013-08-07,7.25,False
7,2013-08-08,6.5,False
8,2013-08-09,12.5,False
9,2013-08-10,5.75,False
10,2013-08-11,8.5,False
