,date,DIS,isPartial
23,2012-09-24,70.28999999999999,False
24,2012-09-25,62.48,False
25,2012-09-26,57.51,False
26,2012-09-27,59.64,False
27,2012-09-28,59.64,False
28,2012-09-29,57.51,False
29,2012-09-30,59.64,False
0,2012-10-01,32.76,False
1,2012-10-02,31.98,False
2,2012-10-03,32.76,False
3,2012-10-04,31.200000000000003,False
4,2012-10-05,29.64,False
5,2012-10-06,28.080000000000002,False
6,2012-10-07,30.42,False
7,2012-10-08,32.76,False
8,2012-10-09,28.86,False
9,2012-10-10,31.98,False
10,2012-10-11,32.76,False
11,2012-10-12,34.32,False
12,2012-10-13,27.3,False
13,2012-10-14,31.98,False
14,2012-10-15,78.0,False
15,2012-10-16,42.9,False
16,2012-10-17,33.54,False
17,2012-10-18,31.200000000000003,False
18,2012-10-19,33.54,False
19,2012-10-20,30.42,False
20,2012-10-21,28.86,False
21,2012-10-22,30.42,False
22,2012-10-23,30.42,False
23,2012-10-24,28.86,False
24,2012-10-25,28.080000000000002,False
25,2012-10-26,31.200000000000003,False
26,2012-10-27,28.86,False
27,2012-10-28,29.64,False
28,2012-10-29,32.76,False
29,2012-10-30,31.200000000000003,False
30,2012-10-31,34.32,False
0,2012-11-01,71.0,False
1,2012-11-02,66.74,False
2,2012-11-03,61.059999999999995,False
3,2012-11-04,58.22,False
4,2012-11-05,64.61,False
5,2012-11-06,59.64,False
6,2012-11-07,68.16,False
7,2012-11-08,64.61,False
8,2012-11-09,68.16,False
9,2012-11-10,57.51,False
10,2012-11-11,58.93,False
11,2012-11-12,66.74,False
12,2012-11-13,63.19,False
13,2012-11-14,58.22,False
14,2012-11-15,65.32,False
15,2012-11-16,61.059999999999995,False
16,2012-11-17,63.9,False
17,2012-11-18,61.769999999999996,False
18,2012-11-19,58.93,False
19,2012-11-20,60.349999999999994,False
20,2012-11-21,56.8,False
21,2012-11-22,60.349999999999994,False
22,2012-11-23,63.19,False
23,2012-11-24,58.93,False
24,2012-11-25,61.769999999999996,False
25,2012-11-26,61.769999999999996,False
26,2012-11-27,59.64,False
27,2012-11-28,60.349999999999994,False
28,2012-11-29,62.48,False
29,2012-11-30,63.19,False
0,2012-12-01,44.64,False
1,2012-12-02,48.96,False
2,2012-12-03,48.239999999999995,False
3,2012-12-04,72.0,False
4,2012-12-05,57.599999999999994,False
5,2012-12-06,54.0,False
6,2012-12-07,46.08,False
7,2012-12-08,44.64,False
8,2012-12-09,50.4,False
9,2012-12-10,50.4,False
10,2012-12-11,58.32,False
11,2012-12-12,56.16,False
12,2012-12-13,58.32,False
13,2012-12-14,46.8,False
14,2012-12-15,48.96,False
15,2012-12-16,46.8,False
16,2012-12-17,51.12,False
17,2012-12-18,47.519999999999996,False
18,2012-12-19,50.4,False
19,2012-12-20,47.519999999999996,False
20,2012-12-21,42.48,False
21,2012-12-22,46.08,False
22,2012-12-23,42.48,False
23,2012-12-24,50.4,False
24,2012-12-25,53.28,False
25,2012-12-26,47.519999999999996,False
26,2012-12-27,43.92,False
27,2012-12-28,56.16,False
28,2012-12-29,46.8,False
29,2012-12-30,44.64,False
30,2012-12-31,50.4,False
0,2013-01-01,59.86,False
1,2013-01-02,57.67,False
2,2013-01-03,62.05,False
3,2013-01-04,62.78,False
4,2013-01-05,62.05,False
5,2013-01-06,64.97,False
6,2013-01-07,59.129999999999995,False
7,2013-01-08,64.97,False
8,2013-01-09,70.08,False
9,2013-01-10,71.53999999999999,False
10,2013-01-11,65.7,False
11,2013-01-12,66.42999999999999,False
12,2013-01-13,67.89,False
13,2013-01-14,67.16,False
14,2013-01-15,68.62,False
15,2013-01-16,66.42999999999999,False
16,2013-01-17,70.81,False
17,2013-01-18,66.42999999999999,False
18,2013-01-19,60.589999999999996,False
19,2013-01-20,60.589999999999996,False
20,2013-01-21,62.78,False
21,2013-01-22,65.7,False
22,2013-01-23,67.16,False
23,2013-01-24,73.0,False
24,2013-01-25,67.89,False
25,2013-01-26,65.7,False
26,2013-01-27,67.16,False
27,2013-01-28,67.89,False
28,2013-01-29,72.27,False
29,2013-01-30,71.53999999999999,False
30,2013-01-31,66.42999999999999,False
0,2013-02-01,65.52,False
1,2013-02-02,63.36,False
2,2013-02-03,60.48,False
3,2013-02-04,65.52,False
4,2013-02-05,66.24,False
5,2013-02-06,65.52,False
6,2013-02-07,66.24,False
7,2013-02-08,61.199999999999996,False
8,2013-02-09,54.72,False
9,2013-02-10,61.199999999999996,False
10,2013-02-11,61.919999999999995,False
11,2013-02-12,72.0,False
12,2013-02-13,59.76,False
13,2013-02-14,66.24,False
14,2013-02-15,63.36,False
15,2013-02-16,59.04,False
16,2013-02-17,58.32,False
17,2013-02-18,56.879999999999995,False
18,2013-02-19,58.32,False
19,2013-02-20,64.08,False
20,2013-02-21,59.04,False
21,2013-02-22,61.919999999999995,False
22,2013-02-23,54.72,False
23,2013-02-24,59.04,False
24,2013-02-25,56.16,False
25,2013-02-26,52.559999999999995,False
26,2013-02-27,64.08,False
27,2013-02-28,62.64,False
0,2013-03-01,61.769999999999996,False
1,2013-03-02,55.379999999999995,False
2,2013-03-03,60.349999999999994,False
3,2013-03-04,62.48,False
4,2013-03-05,69.58,False
5,2013-03-06,64.61,False
6,2013-03-07,69.58,False
7,2013-03-08,55.379999999999995,False
8,2013-03-09,64.61,False
9,2013-03-10,60.349999999999994,False
10,2013-03-11,58.22,False
11,2013-03-12,66.74,False
12,2013-03-13,71.0,False
13,2013-03-14,68.16,False
14,2013-03-15,69.58,False
15,2013-03-16,58.93,False
16,2013-03-17,64.61,False
17,2013-03-18,68.86999999999999,False
18,2013-03-19,65.32,False
19,2013-03-20,66.74,False
20,2013-03-21,68.16,False
21,2013-03-22,63.9,False
22,2013-03-23,62.48,False
23,2013-03-24,58.22,False
24,2013-03-25,54.669999999999995,False
25,2013-03-26,65.32,False
26,2013-03-27,70.28999999999999,False
27,2013-03-28,63.19,False
28,2013-03-29,69.58,False
29,2013-03-30,56.8,False
30,2013-03-31,63.9,False
0,2013-04-01,58.32,False
1,2013-04-02,61.199999999999996,False
2,2013-04-03,59.04,False
3,2013-04-04,58.32,False
4,2013-04-05,58.32,False
5,2013-04-06,59.04,False
6,2013-04-07,57.599999999999994,False
7,2013-04-08,72.0,False
8,2013-04-09,59.04,False
9,2013-04-10,55.44,False
10,2013-04-11,60.48,False
11,2013-04-12,58.32,False
12,2013-04-13,59.76,False
13,2013-04-14,54.0,False
14,2013-04-15,64.8,False
15,2013-04-16,64.08,False
16,2013-04-17,64.8,False
17,2013-04-18,64.8,False
18,2013-04-19,66.24,False
19,2013-04-20,59.04,False
20,2013-04-21,57.599999999999994,False
21,2013-04-22,64.08,False
22,2013-04-23,57.599999999999994,False
23,2013-04-24,59.76,False
24,2013-04-25,65.52,False
25,2013-04-26,64.08,False
26,2013-04-27,48.96,False
27,2013-04-28,57.599999999999994,False
28,2013-04-29,64.8,False
29,2013-04-30,56.879999999999995,False
0,2013-05-01,73.0,False
1,2013-05-02,61.32,False
