,date,FB,isPartial
26,2012-08-27,47.309999999999995,False
27,2012-08-28,47.879999999999995,False
28,2012-08-29,47.879999999999995,False
29,2012-08-30,47.309999999999995,False
30,2012-08-31,52.44,False
0,2012-09-01,55.67999999999999,False
1,2012-09-02,55.099999999999994,False
2,2012-09-03,49.3,False
3,2012-09-04,43.5,False
4,2012-09-05,45.82,False
5,2012-09-06,45.82,False
6,2012-09-07,49.879999999999995,False
7,2012-09-08,55.099999999999994,False
8,2012-09-09,54.519999999999996,False
9,2012-09-10,45.239999999999995,False
10,2012-09-11,44.66,False
11,2012-09-12,45.82,False
12,2012-09-13,45.82,False
13,2012-09-14,48.72,False
14,2012-09-15,56.26,False
15,2012-09-16,53.94,False
16,2012-09-17,45.239999999999995,False
17,2012-09-18,45.82,False
18,2012-09-19,47.559999999999995,False
19,2012-09-20,46.98,False
20,2012-09-21,48.72,False
21,2012-09-22,57.99999999999999,False
22,2012-09-23,52.779999999999994,False
23,2012-09-24,48.13999999999999,False
24,2012-09-25,45.82,False
25,2012-09-26,46.4,False
26,2012-09-27,47.559999999999995,False
27,2012-09-28,49.3,False
28,2012-09-29,57.419999999999995,False
29,2012-09-30,57.99999999999999,False
0,2012-10-01,45.99,False
1,2012-10-02,46.72,False
2,2012-10-03,48.18,False
3,2012-10-04,51.83,False
4,2012-10-05,63.51,False
5,2012-10-06,70.08,False
6,2012-10-07,70.81,False
7,2012-10-08,56.94,False
8,2012-10-09,55.48,False
9,2012-10-10,59.129999999999995,False
10,2012-10-11,59.129999999999995,False
11,2012-10-12,60.589999999999996,False
12,2012-10-13,71.53999999999999,False
13,2012-10-14,68.62,False
14,2012-10-15,56.21,False
15,2012-10-16,56.21,False
16,2012-10-17,58.4,False
17,2012-10-18,56.94,False
18,2012-10-19,61.32,False
19,2012-10-20,71.53999999999999,False
20,2012-10-21,68.62,False
21,2012-10-22,56.21,False
22,2012-10-23,57.67,False
23,2012-10-24,59.86,False
24,2012-10-25,61.32,False
25,2012-10-26,62.78,False
26,2012-10-27,73.0,False
27,2012-10-28,70.81,False
28,2012-10-29,60.589999999999996,False
29,2012-10-30,63.51,False
30,2012-10-31,62.05,False
0,2012-11-01,65.36,False
1,2012-11-02,70.68,False
2,2012-11-03,76.0,False
3,2012-11-04,73.72,False
4,2012-11-05,60.8,False
5,2012-11-06,58.52,False
6,2012-11-07,58.52,False
7,2012-11-08,60.8,False
8,2012-11-09,64.6,False
9,2012-11-10,72.2,False
10,2012-11-11,71.44,False
11,2012-11-12,58.52,False
12,2012-11-13,60.8,False
13,2012-11-14,59.28,False
14,2012-11-15,61.56,False
15,2012-11-16,61.56,False
16,2012-11-17,71.44,False
17,2012-11-18,68.4,False
18,2012-11-19,57.76,False
19,2012-11-20,59.28,False
20,2012-11-21,59.28,False
21,2012-11-22,61.56,False
22,2012-11-23,61.56,False
23,2012-11-24,71.44,False
24,2012-11-25,70.68,False
25,2012-11-26,57.0,False
26,2012-11-27,60.8,False
27,2012-11-28,61.56,False
28,2012-11-29,60.8,False
29,2012-11-30,65.36,False
0,2012-12-01,75.53,False
1,2012-12-02,73.86999999999999,False
2,2012-12-03,60.589999999999996,False
3,2012-12-04,62.25,False
4,2012-12-05,62.25,False
5,2012-12-06,63.08,False
6,2012-12-07,66.39999999999999,False
7,2012-12-08,78.85,False
8,2012-12-09,73.03999999999999,False
9,2012-12-10,61.419999999999995,False
10,2012-12-11,62.25,False
11,2012-12-12,63.91,False
12,2012-12-13,64.74,False
13,2012-12-14,66.39999999999999,False
14,2012-12-15,77.19,False
15,2012-12-16,79.67999999999999,False
16,2012-12-17,63.08,False
17,2012-12-18,65.57,False
18,2012-12-19,66.39999999999999,False
19,2012-12-20,66.39999999999999,False
20,2012-12-21,72.21,False
21,2012-12-22,79.67999999999999,False
22,2012-12-23,80.50999999999999,False
23,2012-12-24,78.85,False
24,2012-12-25,83.0,False
25,2012-12-26,73.86999999999999,False
26,2012-12-27,71.38,False
27,2012-12-28,69.72,False
28,2012-12-29,78.02,False
29,2012-12-30,76.36,False
30,2012-12-31,77.19,False
0,2013-01-01,77.0,False
1,2013-01-02,65.45,False
2,2013-01-03,64.68,False
3,2013-01-04,65.45,False
4,2013-01-05,72.38,False
5,2013-01-06,69.3,False
6,2013-01-07,58.52,False
7,2013-01-08,58.52,False
8,2013-01-09,58.52,False
9,2013-01-10,60.83,False
10,2013-01-11,62.370000000000005,False
11,2013-01-12,71.61,False
12,2013-01-13,69.3,False
13,2013-01-14,60.06,False
14,2013-01-15,60.06,False
15,2013-01-16,60.83,False
16,2013-01-17,60.83,False
17,2013-01-18,65.45,False
18,2013-01-19,70.84,False
19,2013-01-20,70.84,False
20,2013-01-21,60.06,False
21,2013-01-22,60.06,False
22,2013-01-23,60.83,False
23,2013-01-24,63.14,False
24,2013-01-25,63.14,False
25,2013-01-26,72.38,False
26,2013-01-27,70.07000000000001,False
27,2013-01-28,58.52,False
28,2013-01-29,60.06,False
29,2013-01-30,61.6,False
30,2013-01-31,60.83,False
0,2013-02-01,65.57000000000001,False
1,2013-02-02,75.05,False
2,2013-02-03,72.68,False
3,2013-02-04,62.410000000000004,False
4,2013-02-05,62.410000000000004,False
5,2013-02-06,62.410000000000004,False
6,2013-02-07,63.2,False
7,2013-02-08,66.36,False
8,2013-02-09,75.84,False
9,2013-02-10,76.63000000000001,False
10,2013-02-11,67.94,False
11,2013-02-12,65.57000000000001,False
12,2013-02-13,67.15,False
13,2013-02-14,63.2,False
14,2013-02-15,67.15,False
15,2013-02-16,78.21000000000001,False
16,2013-02-17,77.42,False
17,2013-02-18,63.99,False
18,2013-02-19,63.99,False
19,2013-02-20,63.99,False
20,2013-02-21,66.36,False
21,2013-02-22,66.36,False
22,2013-02-23,79.0,False
23,2013-02-24,76.63000000000001,False
24,2013-02-25,60.830000000000005,False
25,2013-02-26,64.78,False
26,2013-02-27,64.78,False
27,2013-02-28,63.99,False
0,2013-03-01,66.42,False
1,2013-03-02,73.8,False
2,2013-03-03,73.8,False
3,2013-03-04,61.49999999999999,False
4,2013-03-05,62.31999999999999,False
5,2013-03-06,62.31999999999999,False
6,2013-03-07,63.13999999999999,False
7,2013-03-08,67.24,False
8,2013-03-09,75.44,False
9,2013-03-10,74.61999999999999,False
10,2013-03-11,63.959999999999994,False
11,2013-03-12,63.13999999999999,False
12,2013-03-13,63.13999999999999,False
13,2013-03-14,64.78,False
14,2013-03-15,68.06,False
15,2013-03-16,77.89999999999999,False
16,2013-03-17,72.97999999999999,False
17,2013-03-18,62.31999999999999,False
18,2013-03-19,63.959999999999994,False
19,2013-03-20,65.6,False
20,2013-03-21,67.24,False
21,2013-03-22,68.88,False
22,2013-03-23,77.89999999999999,False
23,2013-03-24,75.44,False
24,2013-03-25,65.6,False
25,2013-03-26,67.24,False
26,2013-03-27,68.88,False
27,2013-03-28,71.33999999999999,False
28,2013-03-29,73.8,False
29,2013-03-30,82.0,False
30,2013-03-31,79.53999999999999,False
0,2013-04-01,70.47,False
1,2013-04-02,66.42,False
2,2013-04-03,67.23,False
3,2013-04-04,68.85000000000001,False
4,2013-04-05,68.85000000000001,False
5,2013-04-06,79.38000000000001,False
6,2013-04-07,76.14,False
7,2013-04-08,66.42,False
8,2013-04-09,65.61,False
9,2013-04-10,67.23,False
10,2013-04-11,67.23,False
11,2013-04-12,68.85000000000001,False
12,2013-04-13,80.19000000000001,False
13,2013-04-14,76.14,False
14,2013-04-15,64.80000000000001,False
15,2013-04-16,65.61,False
16,2013-04-17,65.61,False
17,2013-04-18,66.42,False
18,2013-04-19,68.85000000000001,False
19,2013-04-20,81.0,False
20,2013-04-21,77.76,False
21,2013-04-22,65.61,False
22,2013-04-23,67.23,False
23,2013-04-24,68.85000000000001,False
24,2013-04-25,69.66000000000001,False
25,2013-04-26,70.47,False
26,2013-04-27,80.19000000000001,False
27,2013-04-28,76.14,False
28,2013-04-29,68.04,False
29,2013-04-30,68.85000000000001,False
0,2013-05-01,75.69,False
1,2013-05-02,72.21,False
2,2013-05-03,74.82,False
3,2013-05-04,85.26,False
