,date,NFLX,isPartial
4,2012-11-05,5.300000000000001,False
5,2012-11-06,3.8000000000000003,False
6,2012-11-07,3.8000000000000003,False
7,2012-11-08,3.6,False
8,2012-11-09,4.800000000000001,False
9,2012-11-10,2.1,False
10,2012-11-11,0.30000000000000004,False
11,2012-11-12,2.4000000000000004,False
12,2012-11-13,2.7,False
13,2012-11-14,2.4000000000000004,False
14,2012-11-15,2.7,False
15,2012-11-16,3.4000000000000004,False
16,2012-11-17,0.7000000000000001,False
17,2012-11-18,0.7000000000000001,False
18,2012-11-19,1.5,False
19,2012-11-20,2.1,False
20,2012-11-21,2.4000000000000004,False
21,2012-11-22,1.2000000000000002,False
22,2012-11-23,1.3,False
23,2012-11-24,0.4,False
24,2012-11-25,1.0,False
25,2012-11-26,1.4000000000000001,False
26,2012-11-27,3.2,False
27,2012-11-28,2.3000000000000003,False
28,2012-11-29,2.9000000000000004,False
29,2012-11-30,2.8000000000000003,False
0,2012-12-01,1.44,False
1,2012-12-02,0.96,False
2,2012-12-03,5.04,False
3,2012-12-04,9.6,False
4,2012-12-05,12.0,False
5,2012-12-06,7.4399999999999995,False
6,2012-12-07,10.799999999999999,False
7,2012-12-08,1.2,False
8,2012-12-09,1.92,False
9,2012-12-10,2.76,False
10,2012-12-11,3.5999999999999996,False
11,2012-12-12,7.4399999999999995,False
12,2012-12-13,5.3999999999999995,False
13,2012-12-14,5.76,False
14,2012-12-15,1.44,False
15,2012-12-16,0.96,False
16,2012-12-17,4.68,False
17,2012-12-18,6.0,False
18,2012-12-19,4.68,False
19,2012-12-20,5.16,False
20,2012-12-21,3.5999999999999996,False
21,2012-12-22,0.72,False
22,2012-12-23,0.48,False
23,2012-12-24,2.04,False
24,2012-12-25,1.92,False
25,2012-12-26,3.2399999999999998,False
26,2012-12-27,3.48,False
27,2012-12-28,3.96,False
28,2012-12-29,3.2399999999999998,False
29,2012-12-30,1.56,False
30,2012-12-31,4.92,False
0,2013-01-01,0.5,False
1,2013-01-02,1.75,False
2,2013-01-03,2.5,False
3,2013-01-04,2.25,False
4,2013-01-05,0.75,False
5,2013-01-06,0.25,False
6,2013-01-07,2.25,False
7,2013-01-08,2.5,False
8,2013-01-09,2.75,False
9,2013-01-10,3.75,False
10,2013-01-11,2.75,False
11,2013-01-12,0.75,False
12,2013-01-13,0.5,False
13,2013-01-14,2.0,False
14,2013-01-15,2.0,False
15,2013-01-16,1.25,False
16,2013-01-17,2.0,False
17,2013-01-18,2.75,False
