,date,AAPL,isPartial
20,2012-11-21,54.019999999999996,False
21,2012-11-22,18.5,False
22,2012-11-23,39.22,False
23,2012-11-24,17.759999999999998,False
24,2012-11-25,14.06,False
25,2012-11-26,53.28,False
26,2012-11-27,57.72,False
27,2012-11-28,50.32,False
28,2012-11-29,54.019999999999996,False
29,2012-11-30,45.14,False
0,2012-12-01,13.299999999999999,False
1,2012-12-02,9.799999999999999,False
2,2012-12-03,39.9,False
3,2012-12-04,39.199999999999996,False
4,2012-12-05,62.99999999999999,False
5,2012-12-06,70.0,False
6,2012-12-07,62.99999999999999,False
7,2012-12-08,18.9,False
8,2012-12-09,9.1,False
9,2012-12-10,46.9,False
10,2012-12-11,51.8,False
11,2012-12-12,47.599999999999994,False
12,2012-12-13,44.099999999999994,False
13,2012-12-14,62.3,False
14,2012-12-15,21.7,False
15,2012-12-16,11.2,False
16,2012-12-17,66.5,False
17,2012-12-18,62.99999999999999,False
18,2012-12-19,54.599999999999994,False
19,2012-12-20,44.8,False
20,2012-12-21,52.5,False
21,2012-12-22,15.399999999999999,False
22,2012-12-23,9.1,False
23,2012-12-24,31.499999999999996,False
24,2012-12-25,12.6,False
25,2012-12-26,36.4,False
26,2012-12-27,41.3,False
27,2012-12-28,41.3,False
28,2012-12-29,14.0,False
29,2012-12-30,10.5,False
30,2012-12-31,48.3,False
0,2013-01-01,12.0,False
1,2013-01-02,32.0,False
2,2013-01-03,26.0,False
3,2013-01-04,25.0,False
4,2013-01-05,8.0,False
5,2013-01-06,6.0,False
6,2013-01-07,21.0,False
7,2013-01-08,20.0,False
8,2013-01-09,22.0,False
9,2013-01-10,23.0,False
10,2013-01-11,21.0,False
11,2013-01-12,7.0,False
12,2013-01-13,5.0,False
13,2013-01-14,35.0,False
14,2013-01-15,42.0,False
15,2013-01-16,38.0,False
16,2013-01-17,32.0,False
17,2013-01-18,30.0,False
18,2013-01-19,11.0,False
19,2013-01-20,6.0,False
20,2013-01-21,15.0,False
21,2013-01-22,31.0,False
22,2013-01-23,66.0,False
23,2013-01-24,100.0,False
24,2013-01-25,69.0,False
25,2013-01-26,20.0,False
26,2013-01-27,11.0,False
27,2013-01-28,38.0,False
28,2013-01-29,40.0,False
29,2013-01-30,34.0,False
30,2013-01-31,30.0,False
0,2013-02-01,63.24,False
1,2013-02-02,21.76,False
2,2013-02-03,13.600000000000001,False
3,2013-02-04,53.040000000000006,False
4,2013-02-05,53.720000000000006,False
5,2013-02-06,57.800000000000004,False
6,2013-02-07,63.24,False
7,2013-02-08,67.32000000000001,False
8,2013-02-09,21.76,False
9,2013-02-10,15.64,False
10,2013-02-11,61.88,False
11,2013-02-12,68.0,False
12,2013-02-13,56.440000000000005,False
13,2013-02-14,48.96,False
14,2013-02-15,48.28,False
15,2013-02-16,13.600000000000001,False
16,2013-02-17,10.200000000000001,False
17,2013-02-18,23.12,False
18,2013-02-19,46.92,False
19,2013-02-20,48.28,False
20,2013-02-21,47.6,False
21,2013-02-22,48.28,False
22,2013-02-23,16.32,False
23,2013-02-24,10.200000000000001,False
24,2013-02-25,42.84,False
25,2013-02-26,50.32,False
26,2013-02-27,55.080000000000005,False
27,2013-02-28,46.24,False
0,2013-03-01,47.12,False
1,2013-03-02,17.36,False
2,2013-03-03,10.54,False
3,2013-03-04,50.839999999999996,False
4,2013-03-05,62.0,False
5,2013-03-06,54.56,False
6,2013-03-07,50.22,False
7,2013-03-08,47.74,False
8,2013-03-09,16.74,False
9,2013-03-10,9.92,False
10,2013-03-11,44.02,False
11,2013-03-12,46.5,False
12,2013-03-13,39.06,False
13,2013-03-14,39.68,False
14,2013-03-15,51.46,False
15,2013-03-16,13.64,False
16,2013-03-17,9.92,False
17,2013-03-18,50.22,False
18,2013-03-19,50.22,False
19,2013-03-20,42.78,False
20,2013-03-21,40.3,False
21,2013-03-22,45.26,False
22,2013-03-23,16.12,False
23,2013-03-24,10.54,False
24,2013-03-25,45.26,False
25,2013-03-26,40.92,False
26,2013-03-27,41.54,False
27,2013-03-28,39.68,False
28,2013-03-29,26.66,False
29,2013-03-30,9.92,False
30,2013-03-31,8.68,False
0,2013-04-01,28.0,False
1,2013-04-02,27.200000000000003,False
2,2013-04-03,25.6,False
3,2013-04-04,24.8,False
4,2013-04-05,24.0,False
5,2013-04-06,8.8,False
6,2013-04-07,6.4,False
7,2013-04-08,23.200000000000003,False
8,2013-04-09,22.400000000000002,False
9,2013-04-10,21.6,False
10,2013-04-11,21.6,False
11,2013-04-12,19.200000000000003,False
12,2013-04-13,7.2,False
13,2013-04-14,5.6000000000000005,False
14,2013-04-15,20.0,False
15,2013-04-16,24.0,False
16,2013-04-17,36.800000000000004,False
17,2013-04-18,44.0,False
18,2013-04-19,36.800000000000004,False
19,2013-04-20,12.0,False
20,2013-04-21,8.8,False
21,2013-04-22,36.800000000000004,False
22,2013-04-23,80.0,False
23,2013-04-24,72.8,False
24,2013-04-25,37.6,False
25,2013-04-26,33.6,False
26,2013-04-27,11.200000000000001,False
27,2013-04-28,7.2,False
28,2013-04-29,29.6,False
29,2013-04-30,38.400000000000006,False
0,2013-05-01,64.0,False
1,2013-05-02,52.480000000000004,False
2,2013-05-03,54.4,False
3,2013-05-04,15.36,False
4,2013-05-05,10.24,False
5,2013-05-06,60.160000000000004,False
6,2013-05-07,56.96,False
7,2013-05-08,52.480000000000004,False
8,2013-05-09,53.120000000000005,False
9,2013-05-10,46.08,False
10,2013-05-11,12.16,False
11,2013-05-12,8.96,False
12,2013-05-13,41.6,False
13,2013-05-14,47.36,False
14,2013-05-15,57.6,False
15,2013-05-16,46.08,False
16,2013-05-17,47.36,False
17,2013-05-18,12.8,False
18,2013-05-19,7.68,False
19,2013-05-20,39.68,False
20,2013-05-21,46.72,False
21,2013-05-22,37.76,False
22,2013-05-23,39.04,False
23,2013-05-24,31.36,False
24,2013-05-25,10.24,False
25,2013-05-26,6.4,False
26,2013-05-27,10.24,False
27,2013-05-28,36.480000000000004,False
28,2013-05-29,40.96,False
29,2013-05-30,36.480000000000004,False
30,2013-05-31,37.12,False
0,2013-06-01,9.0,False
1,2013-06-02,6.0,False
2,2013-06-03,27.5,False
3,2013-06-04,29.0,False
4,2013-06-05,28.5,False
5,2013-06-06,27.0,False
6,2013-06-07,27.5,False
7,2013-06-08,8.5,False
8,2013-06-09,6.0,False
9,2013-06-10,50.0,False
10,2013-06-11,40.5,False
11,2013-06-12,30.0,False
12,2013-06-13,25.5,False
13,2013-06-14,26.5,False
14,2013-06-15,8.0,False
15,2013-06-16,4.0,False
16,2013-06-17,24.5,False
17,2013-06-18,23.5,False
18,2013-06-19,23.5,False
19,2013-06-20,27.0,False
20,2013-06-21,27.5,False
21,2013-06-22,8.5,False
22,2013-06-23,6.5,False
23,2013-06-24,30.0,False
24,2013-06-25,28.5,False
25,2013-06-26,30.0,False
26,2013-06-27,28.0,False
27,2013-06-28,29.5,False
28,2013-06-29,9.0,False
29,2013-06-30,5.5,False
0,2013-07-01,26.320000000000004,False
1,2013-07-02,29.120000000000005,False
2,2013-07-03,21.840000000000003,False
3,2013-07-04,7.840000000000001,False
4,2013-07-05,19.6,False
5,2013-07-06,7.280000000000001,False
6,2013-07-07,5.6000000000000005,False
7,2013-07-08,18.48,False
8,2013-07-09,20.720000000000002,False
9,2013-07-10,18.48,False
10,2013-07-11,23.520000000000003,False
11,2013-07-12,21.28,False
12,2013-07-13,5.6000000000000005,False
13,2013-07-14,3.9200000000000004,False
14,2013-07-15,19.6,False
15,2013-07-16,20.160000000000004,False
16,2013-07-17,17.92,False
17,2013-07-18,21.28,False
18,2013-07-19,21.28,False
19,2013-07-20,6.16,False
20,2013-07-21,3.9200000000000004,False
21,2013-07-22,22.96,False
22,2013-07-23,47.040000000000006,False
23,2013-07-24,56.00000000000001,False
24,2013-07-25,33.6,False
25,2013-07-26,23.520000000000003,False
26,2013-07-27,6.720000000000001,False
27,2013-07-28,6.16,False
28,2013-07-29,27.44,False
29,2013-07-30,26.320000000000004,False
30,2013-07-31,28.000000000000004,False
0,2013-08-01,32.13,False
1,2013-08-02,25.2,False
2,2013-08-03,9.45,False
3,2013-08-04,9.45,False
4,2013-08-05,30.87,False
5,2013-08-06,29.61,False
6,2013-08-07,28.98,False
7,2013-08-08,25.2,False
8,2013-08-09,28.35,False
9,2013-08-10,10.08,False
10,2013-08-11,5.67,False
11,2013-08-12,26.46,False
12,2013-08-13,48.51,False
13,2013-08-14,63.0,False
14,2013-08-15,48.51,False
15,2013-08-16,40.95,False
16,2013-08-17,10.71,False
17,2013-08-18,8.82,False
18,2013-08-19,38.43,False
19,2013-08-20,37.8,False
20,2013-08-21,38.43,False
21,2013-08-22,40.32,False
22,2013-08-23,30.87,False
23,2013-08-24,9.45,False
24,2013-08-25,6.93,False
25,2013-08-26,29.61,False
26,2013-08-27,30.87,False
27,2013-08-28,30.240000000000002,False
28,2013-08-29,27.72,False
29,2013-08-30,27.09,False
30,2013-08-31,6.3,False
0,2013-09-01,3.65,False
1,2013-09-02,7.3,False
2,2013-09-03,26.28,False
3,2013-09-04,28.47,False
4,2013-09-05,26.28,False
5,2013-09-06,25.55,False
6,2013-09-07,8.76,False
7,2013-09-08,6.57,False
8,2013-09-09,29.2,False
9,2013-09-10,68.62,False
10,2013-09-11,73.0,False
11,2013-09-12,46.72,False
12,2013-09-13,35.769999999999996,False
13,2013-09-14,13.14,False
14,2013-09-15,8.76,False
15,2013-09-16,36.5,False
16,2013-09-17,36.5,False
17,2013-09-18,32.85,False
18,2013-09-19,37.23,False
19,2013-09-20,39.42,False
20,2013-09-21,11.68,False
21,2013-09-22,9.49,False
22,2013-09-23,51.1,False
23,2013-09-24,38.69,False
24,2013-09-25,31.39,False
25,2013-09-26,31.39,False
26,2013-09-27,29.93,False
27,2013-09-28,7.3,False
28,2013-09-29,4.38,False
29,2013-09-30,26.28,False
0,2013-10-01,35.510000000000005,False
1,2013-10-02,32.160000000000004,False
2,2013-10-03,30.150000000000002,False
3,2013-10-04,26.8,False
4,2013-10-05,6.03,False
5,2013-10-06,6.03,False
6,2013-10-07,32.160000000000004,False
7,2013-10-08,29.48,False
8,2013-10-09,29.48,False
9,2013-10-10,32.830000000000005,False
10,2013-10-11,28.810000000000002,False
11,2013-10-12,9.38,False
12,2013-10-13,5.36,False
13,2013-10-14,26.130000000000003,False
14,2013-10-15,30.82,False
15,2013-10-16,35.510000000000005,False
16,2013-10-17,34.17,False
17,2013-10-18,38.190000000000005,False
18,2013-10-19,13.4,False
19,2013-10-20,7.37,False
20,2013-10-21,37.52,False
21,2013-10-22,64.99000000000001,False
22,2013-10-23,48.910000000000004,False
23,2013-10-24,42.88,False
24,2013-10-25,38.190000000000005,False
25,2013-10-26,11.39,False
26,2013-10-27,8.040000000000001,False
27,2013-10-28,67.0,False
28,2013-10-29,60.970000000000006,False
29,2013-10-30,39.53,False
30,2013-10-31,32.160000000000004,False
0,2013-11-01,43.0,False
1,2013-11-02,15.48,False
2,2013-11-03,9.459999999999999,False
3,2013-11-04,39.99,False
4,2013-11-05,41.28,False
5,2013-11-06,41.28,False
6,2013-11-07,42.57,False
7,2013-11-08,39.99,False
8,2013-11-09,12.9,False
9,2013-11-10,8.17,False
10,2013-11-11,35.69,False
11,2013-11-12,32.25,False
12,2013-11-13,28.81,False
13,2013-11-14,37.41,False
14,2013-11-15,42.57,False
15,2013-11-16,10.32,False
16,2013-11-17,6.45,False
17,2013-11-18,31.39,False
18,2013-11-19,31.82,False
19,2013-11-20,32.25,False
20,2013-11-21,29.24,False
21,2013-11-22,32.25,False
22,2013-11-23,9.89,False
23,2013-11-24,7.31,False
24,2013-11-25,27.95,False
25,2013-11-26,36.55,False
26,2013-11-27,39.13,False
27,2013-11-28,15.91,False
28,2013-11-29,31.39,False
29,2013-11-30,14.62,False
0,2013-12-01,7.68,False
1,2013-12-02,31.2,False
2,2013-12-03,37.44,False
3,2013-12-04,34.56,False
4,2013-12-05,41.28,False
5,2013-12-06,31.68,False
6,2013-12-07,8.64,False
7,2013-12-08,6.24,False
8,2013-12-09,28.799999999999997,False
9,2013-12-10,28.799999999999997,False
10,2013-12-11,29.279999999999998,False
11,2013-12-12,25.439999999999998,False
12,2013-12-13,24.48,False
13,2013-12-14,7.199999999999999,False
14,2013-12-15,5.279999999999999,False
15,2013-12-16,22.08,False
16,2013-12-17,22.56,False
17,2013-12-18,26.4,False
18,2013-12-19,27.36,False
19,2013-12-20,24.48,False
20,2013-12-21,9.12,False
21,2013-12-22,7.68,False
22,2013-12-23,48.0,False
23,2013-12-24,33.6,False
24,2013-12-25,9.6,False
