,date,QCOM,isPartial
26,2012-12-27,16.0,False
27,2012-12-28,9.4,False
28,2012-12-29,4.6000000000000005,False
29,2012-12-30,3.0,False
30,2012-12-31,3.0,False
0,2013-01-01,5.3999999999999995,False
1,2013-01-02,8.1,False
2,2013-01-03,8.4,False
3,2013-01-04,13.799999999999999,False
4,2013-01-05,2.4,False
5,2013-01-06,0.8999999999999999,False
6,2013-01-07,9.0,False
7,2013-01-08,13.5,False
8,2013-01-09,12.299999999999999,False
9,2013-01-10,9.6,False
10,2013-01-11,5.7,False
11,2013-01-12,1.5,False
12,2013-01-13,0.8999999999999999,False
13,2013-01-14,6.6,False
14,2013-01-15,6.6,False
15,2013-01-16,5.3999999999999995,False
16,2013-01-17,6.8999999999999995,False
17,2013-01-18,5.7,False
18,2013-01-19,1.5,False
19,2013-01-20,3.9,False
20,2013-01-21,3.9,False
21,2013-01-22,2.6999999999999997,False
22,2013-01-23,9.299999999999999,False
23,2013-01-24,10.2,False
24,2013-01-25,14.399999999999999,False
25,2013-01-26,5.3999999999999995,False
26,2013-01-27,5.3999999999999995,False
27,2013-01-28,7.199999999999999,False
28,2013-01-29,7.8,False
29,2013-01-30,14.399999999999999,False
30,2013-01-31,30.0,False
0,2013-02-01,23.0,False
1,2013-02-02,9.43,False
2,2013-02-03,2.3000000000000003,False
3,2013-02-04,17.94,False
4,2013-02-05,16.1,False
5,2013-02-06,13.110000000000001,False
6,2013-02-07,18.400000000000002,False
7,2013-02-08,21.16,False
8,2013-02-09,3.68,False
9,2013-02-10,2.5300000000000002,False
10,2013-02-11,12.42,False
11,2013-02-12,17.48,False
12,2013-02-13,15.180000000000001,False
13,2013-02-14,10.35,False
14,2013-02-15,18.17,False
15,2013-02-16,4.83,False
16,2013-02-17,3.68,False
17,2013-02-18,7.13,False
18,2013-02-19,13.8,False
19,2013-02-20,9.89,False
20,2013-02-21,11.96,False
21,2013-02-22,13.57,False
22,2013-02-23,2.3000000000000003,False
23,2013-02-24,4.6000000000000005,False
24,2013-02-25,11.73,False
25,2013-02-26,16.560000000000002,False
26,2013-02-27,11.73,False
27,2013-02-28,8.05,False
0,2013-03-01,19.68,False
1,2013-03-02,5.04,False
2,2013-03-03,0.0,False
3,2013-03-04,10.32,False
4,2013-03-05,24.0,False
5,2013-03-06,15.6,False
6,2013-03-07,18.96,False
7,2013-03-08,16.32,False
8,2013-03-09,6.24,False
9,2013-03-10,2.4,False
10,2013-03-11,14.399999999999999,False
11,2013-03-12,14.16,False
12,2013-03-13,14.16,False
13,2013-03-14,12.719999999999999,False
14,2013-03-15,12.959999999999999,False
15,2013-03-16,6.0,False
16,2013-03-17,2.4,False
17,2013-03-18,14.16,False
18,2013-03-19,9.36,False
19,2013-03-20,9.36,False
20,2013-03-21,4.08,False
21,2013-03-22,16.32,False
22,2013-03-23,9.84,False
23,2013-03-24,1.2,False
24,2013-03-25,8.16,False
25,2013-03-26,14.639999999999999,False
26,2013-03-27,7.4399999999999995,False
27,2013-03-28,14.399999999999999,False
28,2013-03-29,10.799999999999999,False
29,2013-03-30,6.4799999999999995,False
30,2013-03-31,2.6399999999999997,False
0,2013-04-01,4.760000000000001,False
1,2013-04-02,10.64,False
2,2013-04-03,7.5600000000000005,False
3,2013-04-04,8.4,False
4,2013-04-05,4.760000000000001,False
5,2013-04-06,5.6000000000000005,False
6,2013-04-07,2.8000000000000003,False
7,2013-04-08,6.720000000000001,False
8,2013-04-09,7.5600000000000005,False
9,2013-04-10,6.16,False
10,2013-04-11,10.920000000000002,False
11,2013-04-12,8.96,False
12,2013-04-13,2.8000000000000003,False
13,2013-04-14,1.9600000000000002,False
14,2013-04-15,9.24,False
15,2013-04-16,6.16,False
16,2013-04-17,7.000000000000001,False
17,2013-04-18,15.680000000000001,False
18,2013-04-19,8.96,False
19,2013-04-20,3.6400000000000006,False
20,2013-04-21,2.8000000000000003,False
21,2013-04-22,13.72,False
22,2013-04-23,14.000000000000002,False
23,2013-04-24,25.76,False
24,2013-04-25,28.000000000000004,False
25,2013-04-26,16.240000000000002,False
26,2013-04-27,6.44,False
27,2013-04-28,3.6400000000000006,False
28,2013-04-29,14.000000000000002,False
29,2013-04-30,10.080000000000002,False
0,2013-05-01,12.42,False
1,2013-05-02,18.86,False
2,2013-05-03,14.72,False
3,2013-05-04,5.75,False
4,2013-05-05,7.13,False
5,2013-05-06,15.180000000000001,False
6,2013-05-07,11.5,False
7,2013-05-08,12.88,False
8,2013-05-09,13.110000000000001,False
9,2013-05-10,15.870000000000001,False
10,2013-05-11,5.5200000000000005,False
11,2013-05-12,4.140000000000001,False
12,2013-05-13,10.35,False
13,2013-05-14,8.97,False
14,2013-05-15,12.42,False
15,2013-05-16,19.78,False
16,2013-05-17,22.77,False
17,2013-05-18,9.66,False
18,2013-05-19,6.9,False
19,2013-05-20,23.0,False
20,2013-05-21,12.190000000000001,False
21,2013-05-22,10.35,False
22,2013-05-23,13.8,False
23,2013-05-24,14.49,False
24,2013-05-25,5.5200000000000005,False
25,2013-05-26,2.7600000000000002,False
26,2013-05-27,5.98,False
27,2013-05-28,12.190000000000001,False
28,2013-05-29,15.64,False
29,2013-05-30,8.05,False
30,2013-05-31,4.83,False
0,2013-06-01,3.04,False
1,2013-06-02,3.04,False
2,2013-06-03,8.93,False
3,2013-06-04,10.26,False
4,2013-06-05,7.22,False
5,2013-06-06,8.36,False
6,2013-06-07,6.65,False
7,2013-06-08,5.89,False
8,2013-06-09,3.04,False
9,2013-06-10,12.540000000000001,False
10,2013-06-11,12.16,False
11,2013-06-12,10.45,False
12,2013-06-13,5.7,False
13,2013-06-14,11.4,False
14,2013-06-15,2.66,False
15,2013-06-16,0.0,False
16,2013-06-17,9.88,False
17,2013-06-18,9.120000000000001,False
18,2013-06-19,10.83,False
19,2013-06-20,11.4,False
20,2013-06-21,6.46,False
21,2013-06-22,3.8,False
22,2013-06-23,3.61,False
23,2013-06-24,10.45,False
24,2013-06-25,19.0,False
25,2013-06-26,9.120000000000001,False
26,2013-06-27,11.4,False
27,2013-06-28,7.41,False
28,2013-06-29,2.66,False
29,2013-06-30,3.23,False
0,2013-07-01,7.800000000000001,False
1,2013-07-02,4.42,False
2,2013-07-03,7.28,False
3,2013-07-04,3.9000000000000004,False
4,2013-07-05,5.2,False
5,2013-07-06,3.9000000000000004,False
6,2013-07-07,3.64,False
7,2013-07-08,6.5,False
8,2013-07-09,10.14,False
9,2013-07-10,5.98,False
10,2013-07-11,8.32,False
11,2013-07-12,12.74,False
12,2013-07-13,3.64,False
13,2013-07-14,3.12,False
14,2013-07-15,9.1,False
15,2013-07-16,9.36,False
16,2013-07-17,7.800000000000001,False
17,2013-07-18,9.620000000000001,False
18,2013-07-19,8.06,False
19,2013-07-20,2.8600000000000003,False
20,2013-07-21,1.04,False
21,2013-07-22,7.54,False
22,2013-07-23,13.26,False
23,2013-07-24,23.14,False
24,2013-07-25,26.0,False
25,2013-07-26,14.3,False
26,2013-07-27,4.16,False
27,2013-07-28,4.16,False
28,2013-07-29,9.36,False
29,2013-07-30,8.58,False
30,2013-07-31,10.14,False
0,2013-08-01,21.840000000000003,False
1,2013-08-02,25.480000000000004,False
2,2013-08-03,7.5600000000000005,False
3,2013-08-04,9.520000000000001,False
4,2013-08-05,23.240000000000002,False
5,2013-08-06,25.480000000000004,False
6,2013-08-07,28.000000000000004,False
7,2013-08-08,22.12,False
8,2013-08-09,22.12,False
9,2013-08-10,12.32,False
10,2013-08-11,4.760000000000001,False
11,2013-08-12,20.44,False
12,2013-08-13,20.720000000000002,False
13,2013-08-14,17.080000000000002,False
14,2013-08-15,17.360000000000003,False
15,2013-08-16,21.840000000000003,False
16,2013-08-17,10.080000000000002,False
17,2013-08-18,7.280000000000001,False
18,2013-08-19,15.96,False
19,2013-08-20,16.8,False
20,2013-08-21,17.92,False
21,2013-08-22,21.560000000000002,False
22,2013-08-23,23.8,False
23,2013-08-24,10.920000000000002,False
24,2013-08-25,3.6400000000000006,False
25,2013-08-26,15.680000000000001,False
26,2013-08-27,11.760000000000002,False
27,2013-08-28,16.8,False
28,2013-08-29,16.520000000000003,False
29,2013-08-30,17.080000000000002,False
30,2013-08-31,3.6400000000000006,False
0,2013-09-01,2.4,False
1,2013-09-02,0.96,False
2,2013-09-03,10.559999999999999,False
3,2013-09-04,23.52,False
4,2013-09-05,18.72,False
5,2013-09-06,20.64,False
6,2013-09-07,7.199999999999999,False
7,2013-09-08,5.76,False
8,2013-09-09,19.2,False
9,2013-09-10,18.96,False
10,2013-09-11,24.0,False
11,2013-09-12,16.32,False
12,2013-09-13,19.919999999999998,False
13,2013-09-14,5.76,False
14,2013-09-15,3.36,False
