,date,AMZN,isPartial
17,2012-10-18,1.6800000000000002,False
18,2012-10-19,1.4700000000000002,False
19,2012-10-20,0.56,False
20,2012-10-21,0.7000000000000001,False
21,2012-10-22,2.1,False
22,2012-10-23,1.6800000000000002,False
23,2012-10-24,1.1900000000000002,False
24,2012-10-25,4.83,False
25,2012-10-26,7.000000000000001,False
26,2012-10-27,0.77,False
27,2012-10-28,0.42000000000000004,False
28,2012-10-29,0.9800000000000001,False
29,2012-10-30,0.8400000000000001,False
30,2012-10-31,2.24,False
0,2012-11-01,5.46,False
1,2012-11-02,3.48,False
2,2012-11-03,0.84,False
3,2012-11-04,1.26,False
4,2012-11-05,4.02,False
5,2012-11-06,3.42,False
6,2012-11-07,4.9799999999999995,False
7,2012-11-08,4.08,False
8,2012-11-09,4.4399999999999995,False
9,2012-11-10,2.16,False
10,2012-11-11,1.26,False
11,2012-11-12,3.48,False
12,2012-11-13,4.02,False
13,2012-11-14,3.0,False
14,2012-11-15,3.42,False
15,2012-11-16,2.82,False
16,2012-11-17,1.26,False
17,2012-11-18,0.96,False
18,2012-11-19,2.94,False
19,2012-11-20,5.3999999999999995,False
20,2012-11-21,5.279999999999999,False
21,2012-11-22,1.8599999999999999,False
22,2012-11-23,2.6399999999999997,False
23,2012-11-24,1.8599999999999999,False
24,2012-11-25,1.26,False
25,2012-11-26,4.8,False
26,2012-11-27,5.9399999999999995,False
27,2012-11-28,6.0,False
28,2012-11-29,4.8,False
29,2012-11-30,4.859999999999999,False
0,2012-12-01,2.76,False
1,2012-12-02,1.68,False
2,2012-12-03,5.76,False
3,2012-12-04,5.04,False
4,2012-12-05,4.14,False
5,2012-12-06,4.02,False
6,2012-12-07,2.6999999999999997,False
7,2012-12-08,0.54,False
8,2012-12-09,1.08,False
9,2012-12-10,4.8,False
10,2012-12-11,3.0,False
11,2012-12-12,3.54,False
12,2012-12-13,3.54,False
13,2012-12-14,2.4,False
14,2012-12-15,1.08,False
15,2012-12-16,0.84,False
16,2012-12-17,3.48,False
17,2012-12-18,4.2,False
18,2012-12-19,4.56,False
19,2012-12-20,4.38,False
20,2012-12-21,4.4399999999999995,False
21,2012-12-22,1.14,False
22,2012-12-23,1.5,False
23,2012-12-24,4.08,False
